income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
95697,107,29,29,0,9
26372,126,11,7,0,1
17514,127,2,5,0,3
89270,74,17,90,0,1
29757,65,13,55,0,1
51814,92,28,89,0,1
24028,82,14,27,0,2
28142,105,18,50,0,1
52705,64,14,8,1,2
0,63,1,5,0,1
84903,111,7,63,0,1
0,118,14,64,0,4
24910,63,7,63,1,1
0,77,15,12,2,2
21876,68,12,28,0,2
0,69,33,61,1,2
0,61,17,1,1,7
70699,82,1,57,0,2
0,74,11,85,1,2
27501,63,20,0,0,1
15897,101,30,99,0,2
25141,73,12,4,1,2
0,61,5,46,3,1
51066,74,23,0,0,8
28358,117,24,37,0,1
61846,112,1,48,0,1
90972,74,3,47,0,8
0,74,3,95,0,7
29549,104,17,51,0,1
0,115,12,17,1,2
39411,217,4,29,2,4
21709,62,28,17,0,3
67890,85,23,57,0,2
0,110,3,16,0,1
84311,111,11,98,4,2
99316,114,26,53,0,1
54507,138,20,11,0,1
64586,76,3,17,0,1
61709,82,5,41,2,7
94656,111,12,79,1,1
0,69,5,40,0,1
61085,70,27,34,1,1
89284,67,7,31,3,2
0,63,6,12,0,2
31686,81,11,33,0,1
56855,255,12,1,0,1
53703,67,3,45,2,1
0,96,12,35,1,2
20396,76,15,60,1,4
27679,150,30,28,0,3
23904,123,1,67,3,1
65351,69,4,54,0,1
0,113,20,1,0,7
0,63,0,54,3,7
0,116,14,35,0,2
64459,72,16,64,0,1
32961,190,13,53,0,3
71416,116,10,0,0,3
68964,78,15,6,0,3
78108,98,12,34,0,1
10621,67,28,22,0,5
84910,95,4,69,0,2
77493,70,2,35,0,3
81097,74,7,67,0,1
96610,85,6,23,0,3
30110,159,20,71,0,1
22081,84,1,9,0,6
0,112,12,93,0,3
98473,72,19,69,0,1
97431,74,1,72,0,3
93870,69,1,96,0,8
50366,72,9,5,0,9
34498,83,30,72,0,7
16552,103,23,53,0,2
26787,77,7,50,0,5
0,74,2,42,0,9
43860,65,15,58,0,1
21474,114,13,72,2,9
18174,66,8,16,0,9
0,73,18,45,0,5
60920,64,10,61,0,2
41520,90,18,70,0,2
0,152,12,89,0,1
0,68,19,16,0,8
72208,73,3,84,0,8
53863,63,12,30,0,2
66446,136,8,77,0,3
0,61,18,26,0,1
64997,63,7,99,1,1
64460,66,18,42,0,3
46618,67,22,77,0,2
0,64,13,64,0,4
49988,84,6,37,5,5
0,91,2,8,5,1
16269,86,6,84,0,1
72006,64,4,38,0,3
0,81,3,60,2,2
0,245,34,83,0,1
44320,67,13,79,0,2
19782,108,13,66,0,1
63933,70,35,98,0,2
28224,109,13,13,0,8
21073,106,25,54,1,3
63243,77,21,73,0,3
20993,133,35,90,0,1
94827,135,5,64,0,4
39161,63,18,83,1,4
37534,84,2,0,2,2
80210,65,30,28,0,1
0,62,32,59,0,2
30110,64,2,4,0,5
21708,68,28,77,0,2
94731,67,23,65,0,4
32375,83,17,83,0,6
16531,63,0,40,0,4
32006,94,28,7,0,2
81676,72,21,86,0,8
71038,86,15,56,0,3
0,103,20,43,0,1
20832,65,8,32,0,2
0,113,19,10,0,7
52405,103,2,27,0,1
0,133,3,89,0,1
26583,128,6,46,4,1
25486,65,15,53,0,3
24065,111,30,1,0,5
70435,116,0,50,0,4
0,76,33,36,2,2
39679,92,2,85,0,1
0,89,13,45,0,5
0,69,21,70,4,3
53565,71,27,34,1,6
37574,66,19,14,1,1
48259,108,14,79,0,3
78532,78,25,87,0,3
96163,73,23,90,0,3
0,72,0,86,0,7
0,114,9,72,1,5
72672,63,7,39,0,5
99002,112,33,75,1,8
79494,91,19,30,0,3
35704,225,21,35,0,8
0,71,6,5,0,3
26049,118,17,6,0,6
70125,64,21,77,0,1
52369,110,34,49,1,2
0,66,25,51,2,1
41770,72,0,60,0,9
0,101,16,88,0,8
31911,67,33,27,0,1
70051,68,15,69,0,8
19683,117,17,41,1,9
30916,112,7,65,0,2
0,80,24,95,0,1
0,118,14,64,0,4
0,116,0,45,0,2
60145,132,8,28,0,3
63774,111,18,63,0,1
25134,67,3,0,0,6
37057,61,5,48,1,6
58577,110,6,62,0,1
85857,73,3,19,0,6
70602,116,8,47,0,3
33816,106,10,97,2,3
0,153,7,75,0,2
89642,121,11,20,4,1
60068,98,17,75,0,1
50044,139,16,14,0,1
36650,69,2,70,1,1
50653,110,29,42,0,1
68931,66,32,30,0,7
0,73,14,39,1,1
0,73,1,22,0,5
39266,80,33,31,0,2
0,102,35,48,0,2
0,98,24,11,1,2
40864,65,2,75,0,1
39035,68,15,65,0,1
34923,98,23,82,0,2
0,63,1,56,0,1
0,111,27,36,0,9
24506,71,7,47,0,1
0,82,25,63,0,2
52220,70,17,42,1,5
0,74,17,73,0,1
53554,67,6,5,0,2
34476,67,23,49,1,3
0,70,1,11,0,5
68205,76,35,14,0,1
0,119,6,48,1,8
53690,154,20,97,0,2
0,72,2,22,0,5
0,61,28,31,0,1
74454,71,25,29,0,3
0,73,23,91,0,2
29664,71,1,69,0,3
15680,64,20,29,0,8
47272,79,17,17,3,2
21585,92,35,61,0,1
23827,106,18,77,2,3
69906,74,34,32,2,2
0,72,7,77,0,1
89879,63,17,20,0,3
0,69,9,89,0,1
46131,74,27,28,0,1
54514,109,5,36,3,1
0,161,29,1,0,1
96668,66,2,95,0,3
78879,69,9,67,1,4
0,69,21,86,0,2
0,76,8,44,0,3
0,112,28,30,0,2
29735,69,3,92,0,1
23082,65,18,90,0,7
53984,80,15,62,0,1
52135,156,6,86,0,9
17576,71,29,70,0,1
29486,62,19,73,0,1
58557,88,4,83,0,1
25632,63,27,52,0,7
0,112,7,42,0,9
18768,68,19,53,3,3
33190,106,18,95,0,2
47945,74,32,39,0,3
58778,126,6,62,0,2
15192,100,1,7,0,1
51859,171,0,21,0,1
23422,72,25,76,0,3
21604,79,14,28,0,1
79298,90,22,2,0,1
76731,64,2,68,0,1
67282,62,29,27,0,1
48534,115,29,79,1,2
77678,116,32,81,0,1
48412,104,15,23,0,2
33837,72,29,54,4,1
23712,85,2,20,0,3
28142,105,18,50,0,1
72196,68,8,61,0,2
68197,69,1,81,0,3
75248,63,13,71,0,5
0,98,9,50,0,2
0,65,5,19,1,1
41546,111,4,47,0,3
46998,96,13,98,0,6
57099,67,20,37,0,1
33897,114,15,67,0,8
59207,116,23,21,0,2
40171,73,8,78,0,1
67798,69,1,78,0,9
21665,136,0,25,0,1
0,87,9,75,0,2
0,67,12,67,5,7
34226,244,29,22,0,2
65989,123,4,43,1,2
30686,61,22,45,0,3
0,113,15,6,0,2
20090,109,10,59,0,2
0,183,6,16,0,2
77094,176,25,29,0,5
97413,73,21,80,0,6
79189,69,6,97,0,4
0,62,5,31,0,1
18577,86,21,76,0,6
0,112,7,34,1,1
40783,67,13,43,1,9
0,74,34,51,0,4
17483,183,24,63,0,1
84394,114,9,38,0,1
0,127,3,93,0,3
41440,62,20,80,1,2
0,136,14,69,1,8
98132,71,10,61,0,3
0,112,4,49,0,1
88220,230,28,63,0,2
58327,129,31,5,0,3
25950,66,27,1,0,2
20993,133,35,90,0,1
65726,177,35,90,0,7
0,63,35,59,3,3
39783,72,28,43,0,1
58842,110,6,74,0,1
25629,124,3,70,2,6
48567,130,12,15,0,1
0,196,0,73,2,1
33746,74,1,6,1,1
22254,79,22,75,0,2
65974,113,3,43,0,3
0,76,18,63,0,3
17161,113,1,22,1,1
0,74,1,62,0,7
0,132,9,85,0,6
0,73,9,14,0,2
67752,131,4,40,4,9
25398,64,30,80,0,6
0,88,30,19,0,4
33321,105,6,2,0,3
0,78,13,32,0,1
68798,114,19,69,0,1
20325,100,4,6,0,1
13129,117,15,93,0,6
0,73,24,57,0,4
49080,91,14,68,0,1
42536,63,30,57,0,6
29926,74,25,34,0,1
0,86,5,55,0,1
21450,138,15,35,0,4
33345,65,32,52,0,2
15752,90,27,37,0,2
40169,65,1,47,1,3
26049,113,10,15,1,9
0,68,3,4,0,1
55411,100,24,53,0,4
12459,70,4,41,0,1
64620,76,24,32,1,2
83140,61,25,70,0,1
0,92,20,50,0,1
54422,68,9,8,0,5
68309,131,4,67,0,9
56621,65,27,36,2,1
38977,70,27,22,0,1
0,111,32,13,0,3
0,114,12,43,0,1
0,83,35,87,0,8
83235,70,16,33,0,2
0,74,7,93,0,2
32390,80,20,36,0,8
66538,95,14,64,0,2
0,64,12,24,0,1
76358,66,25,3,0,2
43860,65,15,58,0,1
55350,67,0,13,0,9
12964,65,2,37,0,4
33288,86,1,27,2,9
0,84,31,25,0,3
56168,88,13,20,0,1
0,92,3,28,0,4
23105,69,15,21,0,3
36218,68,6,83,0,1
52275,62,6,88,0,5
49665,74,5,51,0,2
32471,110,0,87,0,1
0,86,12,89,1,2
62773,73,19,57,0,9
76694,117,34,23,0,1
55687,276,33,91,0,1
0,70,20,81,0,1
36633,96,20,61,1,1
77060,106,23,90,0,2
92600,94,9,48,0,1
0,66,2,75,0,2
0,111,6,24,2,1
64801,64,23,19,0,2
45257,103,33,90,0,4
26854,66,31,70,0,1
85840,102,14,79,2,4
26463,72,28,93,0,2
30689,81,23,51,0,5
29590,66,17,18,0,1
25965,253,15,59,0,1
17269,139,3,31,0,5
90330,137,0,86,3,2
0,113,34,5,0,8
0,110,20,66,0,7
0,67,2,49,1,3
18558,80,17,23,0,1
46384,113,33,93,0,1
0,72,1,77,0,2
42303,180,24,66,0,1
71731,130,12,50,0,2
51066,74,23,0,0,8
0,203,20,66,0,2
0,86,19,93,3,5
0,69,16,45,0,6
26173,68,2,10,1,9
24445,63,18,15,0,2
72302,66,6,27,0,1
27208,102,10,65,0,1
36650,69,2,70,1,1
30855,68,7,15,0,7
0,95,13,20,0,5
99960,76,19,83,0,4
0,98,1,15,0,2
55873,88,30,19,0,6
18052,111,5,71,0,1
28937,104,28,23,2,6
0,86,34,80,0,5
0,73,9,94,0,2
12829,118,33,1,0,9
92163,73,3,79,0,6
17588,192,24,92,0,2
82302,106,11,92,0,1
0,127,19,40,0,2
70340,113,5,56,0,1
0,74,35,59,0,1
50825,102,3,46,0,3
93459,99,9,85,0,5
86148,65,19,51,2,4
27048,72,5,85,0,4
73259,115,7,31,0,4
35482,129,21,59,0,3
29462,107,28,23,1,1
67801,115,12,45,1,1
0,94,34,59,4,1
16042,73,33,58,0,9
28056,64,32,41,1,8
16495,85,25,75,3,1
41163,108,11,66,0,3
0,161,3,71,1,9
33799,109,28,52,3,2
0,61,17,71,3,2
87747,147,3,87,1,1
35695,90,2,7,0,1
90985,87,33,39,0,1
0,101,19,16,0,1
66839,154,33,24,0,1
0,165,16,43,0,3
79090,107,2,74,0,3
24825,64,34,44,0,1
26806,63,32,19,0,2
56835,67,25,16,0,3
0,88,12,54,0,6
46135,69,12,68,0,1
0,73,21,87,0,4
22862,67,9,40,0,2
21450,110,8,80,2,3
95854,65,16,78,0,1
44897,99,22,46,1,7
54040,103,14,88,0,4
53265,62,12,27,0,3
0,198,18,55,1,1
43817,62,25,12,1,2
54780,88,22,72,3,5
0,119,9,8,0,3
67798,69,1,78,0,9
21442,118,32,84,0,3
27615,62,19,18,1,1
17622,65,1,36,1,3
50200,135,23,98,0,1
0,112,3,51,2,1
0,96,31,34,0,1
73570,70,0,46,1,1
0,111,4,85,0,1
0,106,11,15,0,6
36631,62,30,77,0,1
35895,73,11,51,0,1
40864,109,16,70,1,1
0,118,15,77,0,4
93018,63,5,90,0,3
70014,62,6,4,0,2
48875,61,20,9,0,1
67969,74,11,14,0,2
0,108,8,55,0,2
68665,69,33,67,0,7
26802,66,7,43,1,5
0,110,6,37,0,6
45345,125,0,73,0,2
17101,113,1,88,0,2
32051,193,4,40,1,1
81139,74,22,69,0,3
63834,100,23,19,1,3
37548,81,12,9,0,3
0,69,28,28,3,2
72421,65,8,23,0,1
83102,116,15,35,0,1
28432,118,1,59,0,2
83707,108,2,72,0,7
63259,65,25,14,0,7
0,67,18,73,0,8
63860,62,26,81,0,1
67176,72,20,90,0,9
86132,68,30,10,0,3
28519,66,1,56,0,1
39102,88,11,98,0,2
0,89,17,56,0,1
97298,128,16,38,0,2
41986,84,25,31,2,5
0,88,6,47,0,2
17291,73,3,25,0,5
0,74,0,52,0,2
37256,62,15,7,0,2
96306,95,12,17,1,6
14290,271,20,40,0,1
37038,71,6,97,1,1
90760,103,5,7,2,1
20668,188,34,54,3,2
54480,67,19,91,0,1
16244,68,4,85,0,1
22436,89,24,21,0,3
25544,68,18,30,0,1
28728,67,8,10,0,1
57449,103,6,28,0,2
83318,73,21,42,0,1
55561,63,2,79,0,2
0,102,18,32,5,1
55308,107,17,74,0,6
36068,97,0,10,0,2
48804,112,1,4,1,2
0,131,6,52,0,6
55790,111,4,40,0,9
70258,69,20,65,0,2
0,95,13,20,0,5
47274,83,32,26,1,5
0,78,27,10,0,8
0,73,26,84,0,3
15818,107,24,99,0,2
44552,137,7,42,0,3
64348,86,25,18,0,1
0,62,27,53,0,2
88997,72,9,71,0,3
77411,67,30,63,0,1
10312,78,10,63,0,1
0,72,4,11,1,7
96263,103,5,5,0,1
28919,72,18,11,0,1
0,68,2,28,1,4
41869,64,5,52,0,6
0,128,5,76,0,8
32808,68,1,88,1,1
79780,68,11,58,0,2
91025,112,26,37,0,9
33043,95,15,90,0,1
69442,118,26,6,3,3
0,70,18,47,0,1
0,70,25,48,0,9
47234,65,11,34,0,1
86863,92,27,26,0,3
25805,66,25,0,2,2
43676,76,19,7,0,3
59855,74,30,82,4,1
35296,126,19,11,0,2
36576,125,11,73,1,3
28513,100,4,22,1,2
85448,72,16,76,0,3
23791,110,11,71,3,7
20597,112,31,46,0,1
56940,87,11,10,0,9
93210,71,35,62,0,2
48992,94,30,0,1,7
53736,71,2,20,0,2
25378,66,22,32,1,2
76731,64,2,68,0,1
0,64,11,85,0,1
69379,103,14,79,0,1
57449,103,6,28,0,2
0,68,7,31,0,7
0,93,30,70,0,6
33806,89,32,59,0,2
77048,103,20,41,0,1
74965,90,20,93,0,2
34095,63,5,99,0,2
0,66,16,35,4,1
96045,61,24,35,0,1
86355,118,27,86,0,2
27824,118,32,9,0,8
42995,101,10,22,0,2
21235,79,18,56,0,1
74585,106,1,49,0,1
41833,103,28,43,0,1
23908,70,18,57,0,4
0,65,9,31,0,2
61953,113,5,63,0,1
0,142,5,87,0,1
0,137,25,45,0,1
73760,107,16,3,1,2
23333,74,8,43,0,1
0,61,6,30,0,1
20440,128,11,54,2,9
86073,136,3,32,0,1
50943,139,18,14,0,1
19003,71,29,21,0,1
46703,108,0,48,0,6
14072,71,13,3,0,2
21733,73,17,37,0,2
20811,61,33,61,0,1
11904,61,34,11,2,3
43490,114,24,63,4,6
57340,67,7,19,0,2
49088,97,4,46,0,3
47761,131,2,54,0,6
70930,99,2,21,0,2
61281,110,7,16,0,7
0,82,4,77,1,3
25290,66,0,4,0,2
24239,88,25,5,0,8
82664,114,24,10,3,9
83210,110,0,25,0,3
38736,81,7,35,0,2
0,66,0,10,0,9
55437,64,5,78,1,2
0,130,0,93,0,1
0,71,33,83,0,3
29066,100,13,51,0,3
54337,72,27,7,0,1
67616,96,25,17,0,2
41082,63,23,94,0,2
0,73,12,71,0,4
36650,69,2,70,1,1
50631,112,19,12,4,2
19592,92,31,63,0,2
0,114,30,1,0,2
55761,115,22,73,0,2
17576,71,29,70,0,1
41449,89,15,45,0,5
14290,271,20,40,0,1
62007,73,4,7,0,3
21921,206,14,44,0,3
42621,66,8,3,0,3
0,87,16,41,1,2
63786,196,30,81,0,1
0,104,1,48,3,7
82877,99,8,89,1,3
0,63,0,75,0,1
10475,88,13,81,1,2
21952,66,20,31,0,6
49721,132,18,49,0,2
88340,102,16,1,0,2
0,65,7,28,0,1
0,65,14,62,0,2
24589,82,33,39,0,2
69379,103,14,79,0,1
73769,61,24,95,2,3
66670,114,23,6,0,1
88854,118,6,50,0,2
31266,193,6,79,0,1
43860,65,15,58,0,1
89284,133,4,62,2,1
67267,89,31,10,0,2
79270,95,28,61,3,2
36692,109,1,6,1,1
0,119,0,37,0,1
0,107,3,65,0,3
0,105,3,92,0,1
0,135,8,14,0,1
44624,71,10,79,1,2
0,71,1,23,0,2
19614,85,21,32,0,2
0,64,31,53,0,1
83846,74,22,94,3,2
51159,72,4,61,0,1
83772,62,13,76,0,1
66839,154,33,24,0,1
88440,70,19,30,0,2
25666,63,7,30,2,2
52926,61,2,92,0,1
0,67,16,90,0,1
40001,70,26,7,0,2
0,70,24,10,0,1
18024,65,13,1,0,3
0,68,19,2,3,2
23220,74,3,73,0,1
64125,108,3,44,0,3
58042,62,14,88,0,2
90034,112,5,86,0,1
27972,61,7,38,0,1
0,65,6,45,0,2
50989,80,3,11,0,1
11885,101,18,39,0,2
89451,63,11,2,0,1
0,182,3,56,0,2
78904,109,10,38,0,9
70247,83,13,19,1,1
32653,67,4,25,0,9
93595,97,15,30,4,1
90279,115,7,64,0,2
0,72,3,56,0,3
53310,189,26,33,3,1
0,105,5,42,0,5
22234,160,0,92,0,3
91375,99,22,89,0,2
22250,86,10,36,0,3
0,80,9,69,0,7
0,84,18,25,1,4
51179,71,10,25,0,2
38667,72,8,67,0,1
79487,114,20,87,0,1
67763,107,28,10,2,9
0,62,8,81,2,6
0,71,5,20,0,5
71943,112,8,51,0,4
53526,68,27,69,0,4
35005,295,14,46,0,2
24721,67,3,76,0,1
0,102,29,72,2,2
88997,72,9,71,0,3
48587,111,7,14,0,2
76310,67,1,33,0,1
73205,92,9,18,0,1
51056,78,27,86,0,2
58414,210,7,24,2,1
23940,107,13,34,0,7
0,62,26,18,0,1
44216,71,24,36,0,2
27972,61,7,38,0,1
0,69,27,48,0,9
29305,66,1,38,0,1
53882,69,14,33,0,1
91757,69,29,58,1,1
33906,64,25,49,0,2
68158,139,28,87,1,4
0,134,24,86,3,5
42165,123,22,66,0,1
0,101,24,11,0,1
30817,88,25,43,0,1
68074,65,12,62,0,1
0,131,20,59,0,2
71135,92,11,64,1,3
0,61,30,35,0,3
37722,116,8,23,0,8
0,139,5,56,0,2
44705,71,21,63,0,6
64642,96,3,79,0,2
50071,71,3,32,0,1
46754,106,5,70,1,9
64801,64,23,19,0,2
70410,83,25,13,0,1
66957,131,31,4,1,1
24213,78,11,28,1,2
0,101,1,83,4,1
79751,63,15,67,0,1
86122,182,33,54,1,1
82297,116,5,62,0,1
82210,68,33,46,4,1
43259,73,12,18,0,2
0,79,7,72,0,2
25064,62,17,34,0,1
25816,119,18,63,0,1
0,73,14,74,0,8
41662,69,27,73,0,6
96170,92,8,86,0,1
46072,64,0,61,0,4
37931,99,8,31,0,2
35127,62,9,21,0,5
72450,66,21,58,0,1
93087,131,14,25,3,1
22398,67,23,76,2,1
92983,87,9,77,1,2
27689,239,0,72,2,1
69654,118,10,50,0,7
80744,111,15,19,0,2
0,112,13,59,0,1
0,64,7,5,1,2
76358,66,25,3,0,2
18608,71,13,24,0,1
73168,70,21,50,0,3
21190,65,24,68,2,1
94041,66,14,11,0,1
91474,113,9,99,0,2
61469,63,16,65,5,3
16618,62,0,40,0,1
48081,188,31,12,0,5
67632,121,0,44,0,4
34115,119,6,73,0,6
23051,99,31,86,0,1
23748,99,0,24,0,2
40589,69,23,68,0,2
50809,83,29,58,0,2
66676,97,0,40,0,1
52339,70,7,55,3,2
14973,115,2,75,0,2
0,83,2,47,0,4
31546,65,4,83,0,9
67763,73,17,69,1,1
83170,97,0,53,0,2
19464,84,10,94,1,1
66943,65,33,10,1,7
81872,115,10,55,0,2
50450,90,11,68,0,2
21342,62,34,72,0,3
34621,108,21,32,1,8
62396,64,13,18,0,2
97212,93,28,61,0,1
49648,70,0,23,0,1
97984,61,1,36,1,5
26308,114,10,30,0,3
63528,256,15,23,0,1
20225,114,27,64,1,6
0,112,3,84,0,7
87620,64,3,15,0,2
0,72,22,79,0,2
34990,65,23,73,0,1
99934,71,9,12,0,3
85702,67,9,74,0,6
94648,69,19,64,0,1
24516,71,11,23,0,8
61063,85,21,4,0,2
0,74,27,91,0,1
0,64,23,71,0,6
15169,63,34,15,0,3
55390,71,34,29,0,2
27592,62,6,29,0,1
88264,62,8,34,0,1
83297,113,6,28,0,1
0,188,35,82,0,7
0,90,21,21,0,2
55897,104,33,5,0,1
21297,71,26,56,0,1
87560,98,4,86,1,2
0,96,5,7,4,1
0,85,3,53,0,1
89398,86,5,57,0,1
36843,68,12,11,3,1
0,134,23,16,0,4
34946,65,30,63,0,1
75680,78,27,6,0,6
0,69,23,13,0,7
37722,116,8,23,0,8
10269,65,12,5,0,3
49714,63,29,64,3,4
77517,129,19,20,0,2
81082,73,5,85,0,4
72540,88,7,3,0,2
0,65,8,58,0,1
61546,68,4,27,0,3
44818,67,25,41,1,2
17622,65,1,36,1,3
0,72,14,24,0,1
79797,84,27,46,0,1
36234,63,0,44,0,5
28919,173,5,88,0,3
0,68,6,93,0,8
63568,65,19,5,0,2
73935,64,13,29,1,1
0,66,15,56,0,3
18846,115,16,84,0,3
38893,103,19,40,0,9
0,153,25,5,0,1
84824,196,7,4,0,9
20068,86,8,28,0,3
0,125,21,34,0,1
0,135,32,61,0,8
97245,70,29,29,0,2
51808,61,3,12,1,1
71391,67,29,39,0,2
0,73,17,44,0,7
0,100,5,54,0,7
23496,77,17,88,0,8
22562,65,4,81,0,1
23986,119,31,3,0,1
22974,71,0,8,0,1
0,101,21,35,0,2
61844,106,19,74,0,2
24804,73,19,98,0,2
27760,104,13,71,0,2
74454,71,25,29,0,3
29462,107,28,23,1,1
52266,68,14,98,0,1
0,70,18,99,0,2
23599,103,20,46,0,1
36088,72,16,31,0,9
70534,104,31,71,0,3
27398,125,4,71,1,2
85296,68,15,47,0,6
31063,92,20,19,0,2
0,92,8,28,0,3
52367,81,25,64,0,1
58651,71,6,95,0,3
84831,192,13,37,0,2
49088,114,17,87,1,2
70263,93,30,66,0,5
45354,285,5,51,0,1
0,63,11,73,0,2
28334,83,3,44,0,7
38772,90,8,87,0,2
41479,94,14,38,1,1
23909,119,21,86,0,2
48328,63,22,12,0,7
86689,85,3,72,0,1
24204,99,25,41,1,1
25943,110,26,83,0,1
0,73,5,72,0,7
62375,92,34,34,0,1
0,71,7,24,0,2
0,148,8,18,0,2
70200,65,25,10,0,2
0,112,16,62,0,1
79027,70,13,37,0,5
26736,63,6,64,0,1
26893,68,1,31,0,5
47406,94,2,96,1,6
17622,65,1,36,1,3
27572,124,11,57,0,2
0,72,7,34,2,7
32802,114,31,8,0,1
18400,89,26,52,0,8
90844,118,10,98,0,2
44685,69,1,41,0,2
0,80,30,8,0,1
42589,98,8,73,0,1
0,72,17,55,0,2
63009,112,17,49,0,2
79583,109,12,76,2,1
89129,64,24,93,0,1
0,69,23,15,0,1
94389,107,16,76,0,8
0,197,5,50,0,9
84106,64,0,86,0,2
0,69,2,71,0,1
76717,66,26,10,0,6
51978,66,18,81,0,1
47325,107,0,92,0,6
86721,111,33,10,0,3
24910,63,7,63,1,1
90125,110,1,72,0,3
0,73,24,40,2,9
89451,63,11,2,0,1
59537,66,23,5,0,7
0,199,6,37,0,1
54193,117,2,83,0,2
86946,118,13,14,0,7
0,92,15,36,0,2
12160,109,5,34,0,1
33701,63,16,67,0,5
33531,116,11,15,0,1
69417,73,30,78,1,1
38644,78,28,0,1,1
63209,102,20,28,2,2
16061,88,26,23,0,1
79487,114,20,87,0,1
54230,112,10,21,0,9
71210,214,8,89,1,2
94903,94,3,38,0,1
27293,96,20,55,0,6
70950,171,6,12,0,1
0,63,19,9,0,1
37009,71,1,45,0,1
52629,65,30,22,0,6
31264,198,9,54,1,2
65473,67,4,14,0,2
0,65,13,7,0,1
99144,61,29,51,0,1
22520,73,17,64,0,3
36615,65,14,7,0,5
64455,108,5,43,0,2
76374,61,21,28,0,7
35457,105,0,93,0,1
56005,68,31,30,1,3
61040,79,12,24,1,4
