,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
40,2011-01-18,0,70,7,1,1,1,484.318536
41,2011-01-11,50071,71,3,32,0,1,18.918935
42,2011-01-28,60021,99,12,28,0,1,882.871945
43,2011-02-08,43244,103,15,16,0,2,494.4
44,2011-02-23,92834,61,15,56,0,1,292.8
45,2011-01-25,10105,172,5,4,3,3,0.517753
46,2011-01-31,0,73,7,57,3,5,579.165954
47,2011-01-02,23218,71,7,10,0,4,447.79344
48,2011-02-07,0,92,11,77,0,1,529.624084
49,2011-01-18,0,62,11,56,0,1,313.023175
50,2011-01-17,24804,104,1,28,0,2,593.830288
51,2011-01-11,33190,106,18,95,0,2,508.8
52,2011-02-21,36014,69,4,40,3,2,173.956072
53,2011-02-16,29834,64,19,44,0,3,307.2
54,2011-01-17,16701,113,20,26,0,1,831.625979
55,2011-02-05,46623,91,1,53,0,3,436.8
56,2011-02-13,64749,64,24,59,0,2,302.56519
57,2011-02-23,0,101,29,12,0,1,484.8
58,2011-01-28,16969,124,34,47,2,1,704.768111
59,2011-02-28,11621,108,4,98,0,1,518.4
60,2011-01-02,17622,65,1,36,1,3,312.0
61,2011-01-22,11489,105,4,50,0,6,504.0
62,2011-01-15,0,94,20,53,0,1,863.327324
63,2011-01-27,66525,100,0,86,0,2,104.331355
64,2011-01-23,0,63,21,28,0,2,676.391482
65,2011-01-31,33663,73,29,71,0,1,350.4
66,2011-01-26,22547,112,7,60,0,3,537.6
67,2011-01-10,61486,97,5,65,0,2,465.258644
68,2011-01-27,0,95,13,20,0,5,456.0
69,2011-01-09,29879,102,17,0,0,2,500.254235
70,2011-02-24,93011,113,17,12,0,2,281.451042
71,2011-02-11,65186,65,29,27,0,1,5.434505
72,2011-02-12,26840,64,1,47,2,1,307.2
73,2011-02-04,0,104,30,3,1,5,982.399613
74,2011-01-18,75644,65,5,68,3,9,467.803638
75,2011-02-11,38984,73,27,38,0,2,350.4
76,2011-02-01,71811,71,17,48,0,6,29.03416
77,2011-02-15,20961,67,20,33,0,2,321.6
78,2011-02-06,38923,99,6,83,2,2,115.728852
79,2011-02-27,61321,186,0,30,1,2,427.63121
80,2011-01-26,0,77,20,26,0,2,25.807685
81,2011-02-26,51066,74,23,0,0,8,787.993313
82,2011-01-27,34378,102,12,54,0,1,489.6
83,2011-01-16,43072,63,35,15,0,1,302.4
84,2011-01-27,25222,90,28,69,0,3,475.623251
85,2011-02-28,36765,66,15,32,1,2,320.849072
86,2011-01-25,23091,96,28,90,5,5,460.8
87,2011-01-01,48269,69,3,79,3,1,282.151207
88,2011-02-01,32720,67,13,12,0,1,321.6
89,2011-02-19,20396,76,15,60,1,4,364.8
90,2011-01-27,21513,119,21,81,1,2,679.827592
91,2011-02-27,72540,88,7,3,0,2,631.743039
92,2011-01-17,80744,63,24,84,0,1,11.879037
93,2011-02-10,52822,67,23,88,0,1,350.529033
94,2011-01-24,0,77,8,10,1,9,863.3947
95,2011-02-24,69738,74,2,26,1,2,492.127532
96,2011-02-15,17780,109,12,18,0,9,132.588288
97,2011-02-16,18107,62,29,11,0,8,297.6
98,2011-01-22,57740,74,30,87,3,9,269.905129
99,2011-02-25,32627,76,11,60,0,7,380.036697
100,2011-01-11,0,107,3,65,0,3,513.6
101,2011-01-31,0,70,24,10,0,1,425.266308
102,2011-01-12,65795,62,2,85,1,3,49.011099
103,2011-02-16,60475,107,9,18,0,1,513.6
104,2011-02-09,0,130,28,88,0,4,936.0
105,2011-01-19,41837,88,29,93,0,9,142.062768
106,2011-01-04,32303,65,13,34,0,2,45.152521
107,2011-01-09,0,117,5,89,1,3,561.6
108,2011-01-27,40531,74,17,32,0,9,30.567357
109,2011-02-14,79898,62,5,86,1,1,271.606799
110,2011-02-27,56398,85,4,18,0,7,408.0
111,2011-02-12,35257,98,16,2,1,8,470.4
112,2011-02-26,27804,109,19,54,0,7,784.8
113,2011-02-20,45506,66,16,32,2,2,316.8
114,2011-02-02,65196,67,0,54,0,2,396.082036
115,2011-02-15,0,102,11,70,1,3,489.6
116,2011-02-18,20993,133,35,90,0,1,638.4
117,2011-01-21,37839,86,35,77,0,9,465.633954
118,2011-01-15,92711,62,24,10,0,1,368.400146
119,2011-02-05,74665,78,10,90,2,1,236.902001
120,2011-02-24,0,83,26,89,0,1,582.679087
121,2011-01-05,46833,112,6,3,0,9,64.109663
122,2011-01-28,88768,68,17,77,0,7,326.4
123,2011-01-12,28262,192,9,77,0,3,921.6
124,2011-02-16,33555,63,17,11,0,1,101.89645
125,2011-01-03,42780,113,10,27,1,2,542.4
126,2011-02-07,58850,78,20,26,0,1,143.747794
127,2011-01-13,21880,97,29,37,0,1,424.077159
128,2011-01-03,25251,66,13,43,0,2,316.8
129,2011-02-17,0,69,9,12,0,2,2.704934
130,2011-01-21,24188,109,14,82,0,1,523.2
131,2011-01-26,41611,74,14,8,0,8,113.801497
132,2011-01-31,28406,72,16,35,1,4,192.87572
133,2011-01-02,69833,118,32,99,0,1,828.662719
134,2011-02-07,0,74,15,91,0,2,532.8
135,2011-01-26,0,117,6,1,0,1,975.107098
136,2011-01-11,80536,119,5,83,0,3,53.798708
137,2011-01-15,0,63,2,5,0,1,606.642452
138,2011-02-08,97732,79,0,70,0,2,289.9122
139,2011-01-11,61222,89,20,55,0,2,392.604371
140,2011-01-09,0,74,7,20,0,1,721.242206
141,2011-02-04,50335,140,9,54,0,1,456.52385
142,2011-01-21,0,127,30,11,0,6,1087.995426
143,2011-02-16,63221,168,28,49,0,1,806.4
144,2011-02-24,0,96,31,34,0,1,460.8
145,2011-01-18,64495,92,34,30,0,1,251.992083
146,2011-01-30,0,72,7,75,0,2,345.6
147,2011-01-09,28859,67,24,51,3,4,321.6
148,2011-02-01,77330,99,0,21,0,3,99.257608
149,2011-02-28,0,105,3,92,0,1,504.0
150,2011-01-31,24495,70,29,65,0,1,336.0
151,2011-02-17,95697,107,29,29,0,9,178.006524
152,2011-02-12,26372,126,11,7,0,1,604.8
153,2011-02-24,17514,127,2,5,0,3,8.312729
154,2011-02-01,89270,74,17,90,0,1,316.599228
155,2011-02-06,29757,65,13,55,0,1,312.0
156,2011-01-23,51814,92,28,89,0,1,56.300724
157,2011-01-21,24028,82,14,27,0,2,393.6
158,2011-01-20,28142,105,18,50,0,1,701.708239
159,2011-01-06,52705,64,14,8,1,2,128.705563
160,2011-02-22,0,63,1,5,0,1,679.368378
161,2011-02-27,84903,111,7,63,0,1,497.126827
162,2011-02-21,0,118,14,64,0,4,566.4
163,2011-01-29,24910,63,7,63,1,1,347.857619
164,2011-02-22,0,77,15,12,2,2,554.4
165,2011-02-21,21876,68,12,28,0,2,465.41477
166,2011-01-10,0,69,33,61,1,2,496.8
167,2011-01-18,0,61,17,1,1,7,292.8
168,2011-01-16,70699,82,1,57,0,2,256.813837
169,2011-01-06,0,74,11,85,1,2,355.2
170,2011-01-27,27501,63,20,0,0,1,542.319401
171,2011-01-15,15897,101,30,99,0,2,303.148399
172,2011-01-09,25141,73,12,4,1,2,25.438063
173,2011-01-28,0,61,5,46,3,1,292.8
174,2011-02-26,51066,74,23,0,0,8,787.993313
175,2011-01-04,28358,117,24,37,0,1,84.024413
176,2011-02-01,61846,112,1,48,0,1,215.8182
177,2011-01-27,90972,74,3,47,0,8,232.926145
178,2011-02-14,0,74,3,95,0,7,532.8
179,2011-01-23,29549,104,17,51,0,1,710.433775
180,2011-02-18,0,115,12,17,1,2,552.0
181,2011-01-24,39411,217,4,29,2,4,1122.658899
182,2011-02-18,21709,62,28,17,0,3,408.374746
183,2011-01-19,67890,85,23,57,0,2,408.0
184,2011-01-04,0,110,3,16,0,1,792.0
185,2011-02-07,84311,111,11,98,4,2,532.8
186,2011-01-30,99316,114,26,53,0,1,754.358929
187,2011-02-17,54507,138,20,11,0,1,702.990032
188,2011-01-13,64586,76,3,17,0,1,206.837111
189,2011-02-08,61709,82,5,41,2,7,275.395894
190,2011-01-29,94656,111,12,79,1,1,459.738128
191,2011-02-05,0,69,5,40,0,1,496.8
192,2011-01-20,61085,70,27,34,1,1,336.0
193,2011-01-27,89284,67,7,31,3,2,321.6
194,2011-01-09,0,63,6,12,0,2,302.4
195,2011-01-11,31686,81,11,33,0,1,430.994107
196,2011-02-17,56855,255,12,1,0,1,1836.0
197,2011-02-16,53703,67,3,45,2,1,67.632476
198,2011-02-10,0,96,12,35,1,2,844.481918
199,2011-02-19,20396,76,15,60,1,4,364.8
200,2011-01-21,27679,150,30,28,0,3,722.486994
201,2011-02-27,23904,123,1,67,3,1,590.4
202,2011-02-04,65351,69,4,54,0,1,481.027516
203,2011-01-18,0,113,20,1,0,7,1124.427734
204,2011-02-03,0,63,0,54,3,7,669.682001
205,2011-01-02,0,116,14,35,0,2,1284.093173
206,2011-01-09,64459,72,16,64,0,1,240.259479
207,2011-01-19,32961,190,13,53,0,3,912.0
208,2011-01-11,71416,116,10,0,0,3,556.8
209,2011-01-31,68964,78,15,6,0,3,115.086827
210,2011-01-11,78108,98,12,34,0,1,470.4
211,2011-02-11,10621,67,28,22,0,5,321.6
212,2011-01-22,84910,95,4,69,0,2,383.167471
213,2011-02-24,77493,70,2,35,0,3,307.963291
214,2011-02-28,81097,74,7,67,0,1,355.2
215,2011-01-25,96610,85,6,23,0,3,520.364752
216,2011-02-26,30110,159,20,71,0,1,466.436375
217,2011-02-19,22081,84,1,9,0,6,451.670309
218,2011-01-02,0,112,12,93,0,3,537.6
219,2011-01-02,98473,72,19,69,0,1,345.6
220,2011-01-26,97431,74,1,72,0,3,355.2
221,2011-02-02,93870,69,1,96,0,8,331.2
222,2011-02-27,50366,72,9,5,0,9,428.734656
223,2011-01-20,34498,83,30,72,0,7,398.4
224,2011-01-17,16552,103,23,53,0,2,494.4
225,2011-01-17,26787,77,7,50,0,5,369.6
226,2011-02-24,0,74,2,42,0,9,831.752839
227,2011-02-14,43860,65,15,58,0,1,156.124914
228,2011-02-20,21474,114,13,72,2,9,373.428187
229,2011-02-19,18174,66,8,16,0,9,395.934815
230,2011-02-08,0,73,18,45,0,5,350.4
231,2011-02-06,60920,64,10,61,0,2,231.201886
232,2011-02-27,41520,90,18,70,0,2,289.904105
233,2011-02-01,0,152,12,89,0,1,729.6
234,2011-02-23,0,68,19,16,0,8,326.4
235,2011-01-11,72208,73,3,84,0,8,350.4
236,2011-02-10,53863,63,12,30,0,2,105.765111
237,2011-02-25,66446,136,8,77,0,3,639.464548
238,2011-02-16,0,61,18,26,0,1,292.8
239,2011-01-30,64997,63,7,99,1,1,383.442328
240,2011-02-11,64460,66,18,42,0,3,316.8
241,2011-01-14,46618,67,22,77,0,2,99.085943
242,2011-02-14,0,64,13,64,0,4,307.2
243,2011-02-03,49988,84,6,37,5,5,566.935022
244,2011-01-31,0,91,2,8,5,1,436.8
245,2011-02-15,16269,86,6,84,0,1,412.8
246,2011-02-27,72006,64,4,38,0,3,307.2
247,2011-01-21,0,81,3,60,2,2,388.8
248,2011-01-14,0,245,34,83,0,1,2345.413441
249,2011-01-25,44320,67,13,79,0,2,321.6
250,2011-02-02,19782,108,13,66,0,1,773.470977
251,2011-02-09,63933,70,35,98,0,2,424.883448
252,2011-02-28,28224,109,13,13,0,8,523.2
253,2011-01-27,21073,106,25,54,1,3,508.8
254,2011-02-19,63243,77,21,73,0,3,364.240307
255,2011-02-18,20993,133,35,90,0,1,638.4
256,2011-02-14,94827,135,5,64,0,4,354.729129
257,2011-01-30,39161,63,18,83,1,4,283.995953
258,2011-02-09,37534,84,2,0,2,2,403.2
259,2011-02-06,80210,65,30,28,0,1,20.543176
260,2011-02-23,0,62,32,59,0,2,385.115437
261,2011-02-22,30110,64,2,4,0,5,140.165035
262,2011-01-16,21708,68,28,77,0,2,326.4
263,2011-02-02,94731,67,23,65,0,4,321.6
264,2011-02-22,32375,83,17,83,0,6,398.4
265,2011-01-03,16531,63,0,40,0,4,102.879769
266,2011-02-27,32006,94,28,7,0,2,56.868289
267,2011-02-15,81676,72,21,86,0,8,463.158502
268,2011-01-11,71038,86,15,56,0,3,205.444066
269,2011-01-21,0,103,20,43,0,1,741.6
270,2011-01-26,20832,65,8,32,0,2,56.371967
271,2011-01-01,0,113,19,10,0,7,813.6
272,2011-02-23,52405,103,2,27,0,1,494.4
273,2011-02-04,0,133,3,89,0,1,795.864079
274,2011-02-06,26583,128,6,46,4,1,614.4
275,2011-02-10,25486,65,15,53,0,3,72.438681
276,2011-01-02,24065,111,30,1,0,5,532.8
277,2011-02-10,70435,116,0,50,0,4,67.881546
278,2011-01-19,0,76,33,36,2,2,402.636829
279,2011-02-23,39679,92,2,85,0,1,641.388616
280,2011-01-07,0,89,13,45,0,5,342.481173
281,2011-01-14,0,69,21,70,4,3,331.2
282,2011-02-15,53565,71,27,34,1,6,340.8
283,2011-02-24,37574,66,19,14,1,1,412.101933
284,2011-02-02,48259,108,14,79,0,3,73.700573
285,2011-01-07,78532,78,25,87,0,3,374.4
286,2011-02-28,96163,73,23,90,0,3,350.4
287,2011-02-17,0,72,0,86,0,7,345.6
288,2011-02-12,0,114,9,72,1,5,722.024742
289,2011-01-09,72672,63,7,39,0,5,259.361117
290,2011-01-10,99002,112,33,75,1,8,537.6
291,2011-01-08,79494,91,19,30,0,3,396.295614
292,2011-01-25,35704,225,21,35,0,8,358.281562
293,2011-01-27,0,71,6,5,0,3,653.388564
294,2011-01-12,26049,118,17,6,0,6,121.032372
295,2011-01-16,70125,64,21,77,0,1,92.813396
296,2011-01-22,52369,110,34,49,1,2,528.0
297,2011-01-13,0,66,25,51,2,1,159.636956
298,2011-02-11,41770,72,0,60,0,9,476.156957
299,2011-01-04,0,101,16,88,0,8,727.2
300,2011-01-29,31911,67,33,27,0,1,321.6
301,2011-02-28,70051,68,15,69,0,8,42.078345
302,2011-02-04,19683,117,17,41,1,9,561.6
303,2011-02-02,30916,112,7,65,0,2,200.11606
304,2011-01-03,0,80,24,95,0,1,676.944023
305,2011-02-21,0,118,14,64,0,4,566.4
306,2011-02-01,0,116,0,45,0,2,830.623064
307,2011-01-01,60145,132,8,28,0,3,580.473259
308,2011-02-28,63774,111,18,63,0,1,60.036683
309,2011-01-12,25134,67,3,0,0,6,321.6
310,2011-02-13,37057,61,5,48,1,6,47.53101
311,2011-01-29,58577,110,6,62,0,1,303.872752
312,2011-02-13,85857,73,3,19,0,6,100.620067
313,2011-01-22,70602,116,8,47,0,3,481.339891
314,2011-01-25,33816,106,10,97,2,3,508.8
315,2011-02-23,0,153,7,75,0,2,1101.6
316,2011-02-18,89642,121,11,20,4,1,86.320022
317,2011-01-03,60068,98,17,75,0,1,470.4
318,2011-01-09,50044,139,16,14,0,1,667.2
319,2011-01-03,36650,69,2,70,1,1,56.60333
320,2011-02-21,50653,110,29,42,0,1,262.865172
321,2011-02-22,68931,66,32,30,0,7,309.577946
322,2011-01-09,0,73,14,39,1,1,350.4
323,2011-02-07,0,73,1,22,0,5,365.364581
324,2011-02-26,39266,80,33,31,0,2,384.0
325,2011-01-30,0,102,35,48,0,2,489.6
326,2011-02-28,0,98,24,11,1,2,705.6
327,2011-02-20,40864,65,2,75,0,1,9.51528
328,2011-01-20,39035,68,15,65,0,1,244.564334
329,2011-01-22,34923,98,23,82,0,2,639.105556
330,2011-01-06,0,63,1,56,0,1,453.6
331,2011-02-06,0,111,27,36,0,9,532.8
332,2011-02-02,24506,71,7,47,0,1,511.2
333,2011-02-23,0,82,25,63,0,2,554.522969
334,2011-01-07,52220,70,17,42,1,5,336.0
335,2011-02-27,0,74,17,73,0,1,402.449823
336,2011-01-21,53554,67,6,5,0,2,327.020539
337,2011-02-04,34476,67,23,49,1,3,5.3953
338,2011-01-08,0,70,1,11,0,5,131.401291
339,2011-02-04,68205,76,35,14,0,1,99.382943
340,2011-01-15,0,119,6,48,1,8,856.8
341,2011-02-07,53690,154,20,97,0,2,739.2
342,2011-02-19,0,72,2,22,0,5,518.4
343,2011-02-09,0,61,28,31,0,1,292.8
344,2011-02-05,74454,71,25,29,0,3,340.8
345,2011-01-15,0,73,23,91,0,2,350.4
346,2011-02-06,29664,71,1,69,0,3,340.8
347,2011-02-27,15680,64,20,29,0,8,260.879903
348,2011-01-17,47272,79,17,17,3,2,64.546877
349,2011-01-07,21585,92,35,61,0,1,441.6
350,2011-01-03,23827,106,18,77,2,3,37.910623
351,2011-01-26,69906,74,34,32,2,2,202.860399
352,2011-01-07,0,72,7,77,0,1,345.6
353,2011-01-14,89879,63,17,20,0,3,94.030308
354,2011-02-20,0,69,9,89,0,1,331.2
355,2011-01-01,46131,74,27,28,0,1,355.2
356,2011-01-10,54514,109,5,36,3,1,286.234931
357,2011-01-27,0,161,29,1,0,1,1159.2
358,2011-02-07,96668,66,2,95,0,3,316.8
359,2011-01-25,78879,69,9,67,1,4,466.570791
360,2011-02-11,0,69,21,86,0,2,331.2
361,2011-01-19,0,76,8,44,0,3,364.8
362,2011-02-04,0,112,28,30,0,2,1252.406235
363,2011-02-09,29735,69,3,92,0,1,331.2
364,2011-02-20,23082,65,18,90,0,7,312.0
365,2011-02-04,53984,80,15,62,0,1,421.484456
366,2011-01-08,52135,156,6,86,0,9,430.505942
367,2011-02-02,17576,71,29,70,0,1,398.502948
368,2011-02-07,29486,62,19,73,0,1,7.646763
369,2011-01-10,58557,88,4,83,0,1,55.510526
370,2011-01-26,25632,63,27,52,0,7,351.270869
371,2011-02-01,0,112,7,42,0,9,806.4
372,2011-01-28,18768,68,19,53,3,3,647.454583
373,2011-01-11,33190,106,18,95,0,2,508.8
374,2011-02-03,47945,74,32,39,0,3,128.43823
375,2011-02-04,58778,126,6,62,0,2,302.033971
376,2011-02-14,15192,100,1,7,0,1,480.0
377,2011-01-24,51859,171,0,21,0,1,1003.160633
378,2011-02-23,23422,72,25,76,0,3,518.4
379,2011-02-12,21604,79,14,28,0,1,379.2
380,2011-01-05,79298,90,22,2,0,1,244.362072
381,2011-02-14,76731,64,2,68,0,1,201.455005
382,2011-02-02,67282,62,29,27,0,1,297.6
383,2011-01-23,48534,115,29,79,1,2,552.0
384,2011-01-05,77678,116,32,81,0,1,741.418485
385,2011-02-24,48412,104,15,23,0,2,707.430832
386,2011-01-10,33837,72,29,54,4,1,305.575785
387,2011-02-13,23712,85,2,20,0,3,376.126419
388,2011-01-20,28142,105,18,50,0,1,701.708239
389,2011-02-05,72196,68,8,61,0,2,152.184244
390,2011-01-07,68197,69,1,81,0,3,176.819414
391,2011-02-27,75248,63,13,71,0,5,104.454624
392,2011-01-08,0,98,9,50,0,2,941.718054
393,2011-01-06,0,65,5,19,1,1,468.0
394,2011-02-03,41546,111,4,47,0,3,121.306839
395,2011-01-20,46998,96,13,98,0,6,460.8
396,2011-02-23,57099,67,20,37,0,1,67.859881
397,2011-01-26,33897,114,15,67,0,8,539.843003
398,2011-02-01,59207,116,23,21,0,2,556.8
399,2011-02-14,40171,73,8,78,0,1,350.4
400,2011-01-13,67798,69,1,78,0,9,331.2
401,2011-01-24,21665,136,0,25,0,1,765.709629
402,2011-01-17,0,87,9,75,0,2,626.4
403,2011-01-15,0,67,12,67,5,7,321.6
404,2011-02-18,34226,244,29,22,0,2,494.395024
405,2011-01-06,65989,123,4,43,1,2,115.545086
406,2011-01-14,30686,61,22,45,0,3,19.938981
407,2011-02-06,0,113,15,6,0,2,799.926741
408,2011-01-14,20090,109,10,59,0,2,523.2
409,2011-01-24,0,183,6,16,0,2,878.4
410,2011-01-26,77094,176,25,29,0,5,444.470676
411,2011-01-15,97413,73,21,80,0,6,268.819985
412,2011-01-22,79189,69,6,97,0,4,331.2
413,2011-02-09,0,62,5,31,0,1,297.6
414,2011-02-16,18577,86,21,76,0,6,412.8
415,2011-02-26,0,112,7,34,1,1,806.4
416,2011-01-24,40783,67,13,43,1,9,321.6
417,2011-01-28,0,74,34,51,0,4,532.8
418,2011-02-03,17483,183,24,63,0,1,1317.6
419,2011-01-27,84394,114,9,38,0,1,691.412378
420,2011-02-04,0,127,3,93,0,3,804.811859
421,2011-02-22,41440,62,20,80,1,2,297.6
422,2011-01-19,0,136,14,69,1,8,1090.86434
423,2011-01-05,98132,71,10,61,0,3,50.587035
424,2011-02-03,0,112,4,49,0,1,537.6
425,2011-01-18,88220,230,28,63,0,2,151.528482
426,2011-01-09,58327,129,31,5,0,3,347.075948
427,2011-02-03,25950,66,27,1,0,2,271.697529
428,2011-02-18,20993,133,35,90,0,1,638.4
429,2011-01-08,65726,177,35,90,0,7,849.6
430,2011-02-07,0,63,35,59,3,3,639.45899
431,2011-01-22,39783,72,28,43,0,1,345.6
432,2011-01-03,58842,110,6,74,0,1,528.0
433,2011-01-20,25629,124,3,70,2,6,595.2
434,2011-02-03,48567,130,12,15,0,1,624.0
435,2011-02-07,0,196,0,73,2,1,1337.063487
436,2011-02-09,33746,74,1,6,1,1,355.2
437,2011-02-26,22254,79,22,75,0,2,125.194389
438,2011-02-14,65974,113,3,43,0,3,235.220971
439,2011-01-02,0,76,18,63,0,3,395.34111
440,2011-01-03,17161,113,1,22,1,1,542.4
441,2011-02-27,0,74,1,62,0,7,772.798511
442,2011-01-15,0,132,9,85,0,6,633.6
443,2011-01-02,0,73,9,14,0,2,350.4
444,2011-01-31,67752,131,4,40,4,9,168.517149
445,2011-01-16,25398,64,30,80,0,6,307.2
446,2011-02-18,0,88,30,19,0,4,633.6
447,2011-01-02,33321,105,6,2,0,3,504.0
448,2011-01-20,0,78,13,32,0,1,845.654042
449,2011-01-27,68798,114,19,69,0,1,92.915251
450,2011-01-26,20325,100,4,6,0,1,668.29397
451,2011-02-15,13129,117,15,93,0,6,700.901632
452,2011-01-07,0,73,24,57,0,4,525.6
453,2011-01-10,49080,91,14,68,0,1,25.299
454,2011-02-20,42536,63,30,57,0,6,375.330097
455,2011-01-18,29926,74,25,34,0,1,418.233667
456,2011-01-24,0,86,5,55,0,1,398.240791
457,2011-01-08,21450,138,15,35,0,4,938.513425
458,2011-02-09,33345,65,32,52,0,2,338.619869
459,2011-02-16,15752,90,27,37,0,2,339.344531
460,2011-01-10,40169,65,1,47,1,3,302.818833
461,2011-02-28,26049,113,10,15,1,9,619.165344
462,2011-01-22,0,68,3,4,0,1,326.4
463,2011-01-05,55411,100,24,53,0,4,259.561195
464,2011-01-21,12459,70,4,41,0,1,336.0
465,2011-01-24,64620,76,24,32,1,2,364.8
466,2011-01-14,83140,61,25,70,0,1,179.161843
467,2011-01-19,0,92,20,50,0,1,662.4
468,2011-01-31,54422,68,9,8,0,5,75.501852
469,2011-02-16,68309,131,4,67,0,9,306.983596
470,2011-01-12,56621,65,27,36,2,1,84.026848
471,2011-01-06,38977,70,27,22,0,1,139.489926
472,2011-01-23,0,111,32,13,0,3,607.4459
473,2011-02-18,0,114,12,43,0,1,631.124372
474,2011-02-07,0,83,35,87,0,8,628.023494
475,2011-02-26,83235,70,16,33,0,2,336.0
476,2011-01-05,0,74,7,93,0,2,426.655599
477,2011-02-10,32390,80,20,36,0,8,91.417923
478,2011-01-12,66538,95,14,64,0,2,317.844812
479,2011-01-01,0,64,12,24,0,1,460.8
480,2011-01-31,76358,66,25,3,0,2,86.461582
481,2011-02-14,43860,65,15,58,0,1,156.124914
482,2011-02-24,55350,67,0,13,0,9,321.6
483,2011-02-01,12964,65,2,37,0,4,362.774545
484,2011-01-06,33288,86,1,27,2,9,221.856184
485,2011-01-27,0,84,31,25,0,3,980.169081
486,2011-01-07,56168,88,13,20,0,1,614.675906
487,2011-01-31,0,92,3,28,0,4,662.4
488,2011-02-25,23105,69,15,21,0,3,331.2
489,2011-01-03,36218,68,6,83,0,1,145.252168
490,2011-02-27,52275,62,6,88,0,5,374.240783
491,2011-01-19,49665,74,5,51,0,2,355.2
492,2011-01-31,32471,110,0,87,0,1,528.0
493,2011-01-21,0,86,12,89,1,2,619.2
494,2011-02-14,62773,73,19,57,0,9,80.669257
495,2011-02-18,76694,117,34,23,0,1,561.6
496,2011-02-08,55687,276,33,91,0,1,1324.8
497,2011-01-30,0,70,20,81,0,1,504.0
498,2011-01-28,36633,96,20,61,1,1,460.8
499,2011-01-24,77060,106,23,90,0,2,468.566133
500,2011-02-17,92600,94,9,48,0,1,842.43785
501,2011-02-04,0,66,2,75,0,2,475.2
502,2011-01-20,0,111,6,24,2,1,1171.93117
503,2011-02-03,64801,64,23,19,0,2,268.471802
504,2011-02-06,45257,103,33,90,0,4,494.4
505,2011-01-22,26854,66,31,70,0,1,475.2
506,2011-02-22,85840,102,14,79,2,4,138.722385
507,2011-01-29,26463,72,28,93,0,2,345.6
508,2011-01-13,30689,81,23,51,0,5,467.24802
509,2011-02-13,29590,66,17,18,0,1,467.503236
510,2011-02-10,25965,253,15,59,0,1,1214.4
511,2011-01-26,17269,139,3,31,0,5,667.2
512,2011-02-07,90330,137,0,86,3,2,192.085299
513,2011-01-07,0,113,34,5,0,8,619.973889
514,2011-01-18,0,110,20,66,0,7,1002.782553
515,2011-02-22,0,67,2,49,1,3,321.6
516,2011-01-16,18558,80,17,23,0,1,384.0
517,2011-01-01,46384,113,33,93,0,1,251.774574
518,2011-02-10,0,72,1,77,0,2,866.208321
519,2011-01-09,42303,180,24,66,0,1,1210.920949
520,2011-02-02,71731,130,12,50,0,2,599.648466
521,2011-02-26,51066,74,23,0,0,8,787.993313
522,2011-02-01,0,203,20,66,0,2,2027.724442
523,2011-02-14,0,86,19,93,3,5,619.2
524,2011-02-25,0,69,16,45,0,6,72.852047
525,2011-02-17,26173,68,2,10,1,9,449.819671
